timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
15,0,1391,1498,2381,1384,1240,2.8044,11.4818,2.8706,-0.0488,0.0906,-0.0991,75.96,-13.33
66,0,1399,1497,2391,1384,1239,2.2513,11.1825,3.3423,-0.2706,0.0467,0.1089,73.36,-10.92
117,0,1392,1496,2382,1384,1241,3.6376,11.2926,3.3638,-0.3707,-0.1741,0.1732,73.41,-17.16
168,0,1391,1498,2383,1383,1239,2.9241,11.1514,3.2369,-0.2293,0.2914,0.1149,73.81,-14.13
229,0,1391,1496,2383,1384,1242,2.8954,11.4243,2.9855,-0.2116,-0.0490,0.0211,75.35,-13.78
280,0,1391,1499,2391,1386,1240,2.8355,11.3357,3.2154,-0.2735,0.0875,0.2033,74.16,-13.53
331,0,1391,1496,2382,1384,1232,3.1803,11.3238,3.1603,-0.3128,0.0320,0.1377,74.41,-15.14
381,0,1399,1497,2382,1383,1240,3.0103,11.2807,3.6870,-0.3897,0.0940,0.1230,71.90,-14.23
442,0,1388,1500,2383,1384,1240,3.2090,10.9934,3.8019,-0.4387,0.0150,0.1433,70.92,-15.42
493,0,1390,1497,2382,1384,1232,3.4987,10.8234,4.0078,-0.3060,0.0903,0.1491,69.68,-16.86
544,0,1392,1498,2382,1383,1238,3.3000,10.9694,3.7205,-0.1240,0.1489,0.1009,71.26,-15.90
595,0,1390,1498,2383,1384,1241,3.2377,11.1466,3.3710,-0.0919,0.0689,0.0861,73.17,-15.54
646,0,1391,1497,2391,1385,1241,3.2018,11.3740,3.1699,-0.1873,0.2109,0.1505,74.43,-15.17
707,0,1400,1497,2382,1384,1240,3.2976,11.1777,3.5482,-0.2473,0.2041,0.1101,72.39,-15.71
758,0,1390,1497,2383,1384,1240,3.2760,11.1418,3.5889,-0.2541,0.2249,0.0896,72.15,-15.64
809,0,1399,1498,2391,1386,1239,3.1396,11.1322,3.6798,-0.2229,0.1663,0.0448,71.71,-14.99
860,0,1390,1497,2391,1384,1239,3.1228,11.0652,3.5003,-0.2025,0.1375,0.0509,72.45,-15.06
911,0,1391,1495,2381,1384,1240,2.9768,11.0819,3.4332,-0.2042,0.1198,0.0471,72.79,-14.39
972,0,1390,1496,2390,1384,1240,2.9361,11.0460,3.4883,-0.2120,0.1525,0.0456,72.47,-14.22
1023,0,1399,1498,2391,1386,1240,2.8714,11.1442,3.5649,-0.2193,0.1473,0.0575,72.26,-13.79
1074,0,1400,1497,2384,1385,1240,2.8523,11.1705,3.5290,-0.2349,0.1719,0.0692,72.47,-13.68
1125,0,1399,1499,2392,1386,1232,2.7924,11.1394,3.5601,-0.2301,0.1640,0.0969,72.28,-13.43
1176,0,1392,1500,2391,1386,1240,2.8068,11.0532,3.5434,-0.2277,0.1878,0.1209,72.23,-13.59
1237,0,1390,1496,2390,1384,1239,2.8259,11.1298,3.5434,-0.2145,0.1736,0.1249,72.34,-13.60
1288,0,1391,1496,2391,1384,1241,2.7373,11.1945,3.5553,-0.2237,0.2070,0.1489,72.38,-13.12
1339,0,1392,1497,2392,1387,1240,2.8355,11.1107,3.5266,-0.2346,0.1812,0.1487,72.39,-13.67
1400,0,1400,1496,2391,1385,1240,2.8307,11.1155,3.5482,-0.2563,0.1613,0.1610,72.30,-13.64
1451,0,1399,1497,2382,1385,1240,2.9528,11.1203,3.6703,-0.2578,0.1889,0.1528,71.73,-14.15
1502,0,1400,1497,2391,1386,1241,3.0270,11.0628,3.7684,-0.2666,0.2153,0.1289,71.19,-14.52
1553,0,1399,1497,2391,1386,1242,2.8714,11.0460,3.8115,-0.2738,0.2002,0.0930,70.96,-13.81
1604,0,1392,1498,2382,1384,1240,2.6655,11.0628,3.6942,-0.2741,0.1591,0.1097,71.53,-12.87
1665,0,1399,1497,2383,1386,1239,2.7206,10.9000,3.5242,-0.2437,0.1436,0.1389,72.08,-13.36
1716,0,1401,1497,2383,1386,1241,2.7900,10.9167,3.5314,-0.2574,0.1456,0.1403,72.07,-13.67
1767,0,1401,1498,2382,1386,1240,2.9073,10.8066,3.7349,-0.3383,0.1252,0.1419,70.93,-14.27
1818,0,1399,1499,2390,1385,1239,2.9408,10.7827,3.9360,-0.3098,0.1657,0.1652,69.95,-14.37
1869,0,1399,1496,2382,1386,1239,2.8906,10.7803,4.1204,-0.2787,0.1840,0.1501,69.08,-14.06
1930,0,1400,1496,2383,1387,1240,2.8882,10.8569,4.0222,-0.2609,0.2040,0.1582,69.67,-14.01
1981,0,1401,1497,2392,1385,1232,2.9456,10.9287,4.1228,-0.2257,0.1916,0.1411,69.33,-14.15
2032,0,1401,1498,2384,1385,1240,2.9983,10.9718,3.8905,-0.1828,0.1557,0.1278,70.48,-14.44
2083,0,1400,1498,2384,1386,1240,2.8882,11.0676,3.7588,-0.1595,0.1460,0.1157,71.24,-13.88
2134,0,1401,1497,2382,1386,1240,2.8810,11.1059,3.7325,-0.1808,0.1699,0.1210,71.42,-13.81
2195,0,1400,1497,2384,1387,1239,2.8594,11.0939,3.7493,-0.2152,0.1564,0.0992,71.33,-13.72
2246,0,1400,1497,2383,1387,1239,2.7373,10.9670,3.8019,-0.2007,0.1748,0.1114,70.88,-13.27
2297,0,1400,1497,2381,1386,1241,2.7230,11.0341,3.6727,-0.2088,0.1541,0.1317,71.59,-13.18
2348,0,1400,1496,2381,1387,1240,2.7756,10.9981,3.8283,-0.2228,0.1675,0.1591,70.81,-13.41
2399,0,1391,1496,2383,1388,1239,2.8403,11.0388,3.7876,-0.2350,0.1523,0.1478,71.06,-13.68
2460,0,1401,1488,2382,1386,1232,2.8858,10.9742,3.8331,-0.2390,0.1700,0.1489,70.75,-13.94
2511,0,1392,1496,2382,1385,1241,2.8403,11.0053,3.9671,-0.2153,0.2089,0.1482,70.18,-13.65
2562,0,1399,1497,2391,1387,1240,2.8355,11.0676,3.9193,-0.2066,0.1913,0.1398,70.50,-13.58
2613,0,1401,1497,2392,1386,1241,2.8978,11.0005,3.9480,-0.2058,0.2162,0.1223,70.26,-13.92
2664,0,1402,1497,2383,1385,1241,2.8714,11.0532,3.9193,-0.1985,0.1721,0.0969,70.48,-13.76
2725,0,1400,1497,2384,1386,1232,2.8307,10.9981,3.9576,-0.1785,0.1745,0.0970,70.21,-13.61
2776,0,1401,1497,2391,1387,1241,2.7397,10.9910,3.7086,-0.1821,0.1681,0.0945,71.35,-13.29
2827,0,1400,1498,2382,1386,1241,2.6679,11.0580,3.8019,-0.1923,0.1560,0.0881,71.03,-12.85
2878,0,1401,1498,2383,1387,1239,2.6224,11.0317,3.7373,-0.1925,0.1870,0.1179,71.28,-12.69
2929,0,1400,1497,2383,1387,1240,2.7086,10.9359,3.7397,-0.1917,0.1553,0.1149,71.12,-13.19
2990,0,1401,1497,2391,1388,1240,2.6751,11.0245,3.7517,-0.1775,0.1729,0.1394,71.21,-12.94
